Name,Brand,Current Price,Original Price,Discount %,Strap Colour,Strap Type,Watch Shape,Display Size,Display Type,Calorie Count,Step Count,Heart Rate Monitor,Health Features,Smart Functions
"GameSir Active 2 Round Stay Connected with YouTube, Facebook, and...more",GameSir,"₹1,357","₹1,349",84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor",BT Calling
"SUSTAINIX Gen 9 1.5"" HD Display Smartwatch: The Next Generation o...more",SUSTAINIX,"₹1,509",₹697,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,Heart Rate,"BT Calling, Voice Assistant"
"GOBOULT Drift+ 1.85'' HD Display ,BT Calling, 500 Nits Brightness...more",GOBOULT,"₹1,299","₹1,199",78% OFF,Black,Metal,Round,"8""",LCD/TFT,NO,NO,YES,"Heart Rate, SpO2","BT Calling, Voice Assistant"
Vishaq Gen 9 Model Fitness Health Music Smartwatch: The Next Gene...more,Vishaq,"₹1,461","₹1,349",70% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor",BT Calling
GameSir Women Men Heart Rate Blood Pressure Fitness Tracker Sport...more,GameSir,"₹1,365","₹1,328",73% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GameSir Active 2 Round Stay Connected with Fashion, Facebook, and...more",GameSir,"₹1,365","₹1,470",62% OFF,Black,Metal,Round,"8""",AMOLED,NO,YES,YES,"Step Count, Heart Rate, Sleep Monitor",BT Calling
MBS Gen 9 smartwatch latest smart watch for girls amoled display ...more,MBS,"₹1,499",₹879,65% OFF,Black,Metal,Round,"8""",AMOLED,YES,YES,YES,"Calorie Count, Step Count, Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"Melbon LAXA-FIT 2.01 AMOLED Display, Smart Health Monitoring, Fit...more",Melbon,₹868,₹704,84% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2, Sleep Monitor",BT Calling
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹897,"₹1,615",85% OFF,Black,Leather,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, Sleep Monitor","BT Calling, Voice Assistant"
"GOBOULT Drift BT Calling HD Display, 140+ Watchface, BT calling, ...more",GOBOULT,₹862,"₹1,199",85% OFF,Black,Metal,Round,"8""",AMOLED,NO,NO,YES,"Heart Rate, SpO2",BT Calling
